ID	MumID	Sex	LambAgeAugust	BirthYearF	RunDate	Plate	Age	AgeF	CapYearF	CapYear	LambAdult	IgAmp	IgEmp	IgGmp
7106	6139	F	484	2009	42375	32	1	1	2010	2010	Adults	2.676536088	0.510713102	0.726709923
7106	6139	F	850	2009	42304	11	2	2	2011	2011	Adults	2.382865807	0.351129496	0.385141437
7106	6139	F	1219	2009	42320	20	3	3	2012	2012	Adults	2.657531214	0.718542198	0.549046412
7106	6139	F	1585	2009	42313	15	4	4	2013	2013	Adults	2.411597278	0.659998672	0.406400288
7106	6139	F	1944	2009	42311	2	5	5	2014	2014	Adults	2.42452848	0.872929903	0.37786268
7106	6139	F	2307	2009	42327	24	6	6	2015	2015	Adults	2.467095411	0.933618839	0.372416354
7107	5474	M	116	2009	42384	42	0	0	2009	2009	Lambs	0.348528391	0.285453906	0.155497162
7107	5474	M	479	2009	42375	31	1	1	2010	2010	Adults	1.092979635	0.619775615	0.511930825
7107	5474	M	847	2009	42304	11	2	2	2011	2011	Adults	0.84583614	0.655784632	0.358340263
7108	6423	F	121	2009	42389	43	0	0	2009	2009	Lambs	1.340629156	0.182910924	0.260553783
7108	6423	F	1226	2009	42320	20	3	3	2012	2012	Adults	2.018253688	1.006081422	0.758083594
7108	6423	F	1581	2009	42313	15	4	4	2013	2013	Adults	1.983995485	1.387708371	0.753600841
7108	6423	F	1946	2009	42311	2	5	5	2014	2014	Adults	1.891532832	1.433084648	0.67919846
7110	5637	F	120	2009	42391	48	0	0	2009	2009	Lambs	1.33634005	0.16724314	0.27124446
7111	5637	F	120	2009	42389	43	0	0	2009	2009	Lambs	1.949966016	0.091401702	0.176989439
7112	5137	F	118	2009	42389	43	0	0	2009	2009	Lambs	0.146142659	0.035244066	0.286078209
7112	5137	F	480	2009	42375	32	1	1	2010	2010	Adults	1.214623424	0.248865761	0.606501263
7112	5137	F	846	2009	42304	11	2	2	2011	2011	Adults	1.153850834	0.176729779	0.370993173
7112	5137	F	1940	2009	42311	2	5	5	2014	2014	Adults	0.8007345	0.295394841	0.671322205
7112	5137	F	2306	2009	42327	24	6	6	2015	2015	Adults	1.639674881	0.213212072	0.51467968
7113	5543	M	117	2009	42389	43	0	0	2009	2009	Lambs	1.425927958	0.012315271	0.118557046
7114	5543	M	117	2009	42396	49	0	0	2009	2009	Lambs	0.455992649	0.012375742	0.075759559
7117	5178	M	488	2009	42375	32	1	1	2010	2010	Adults	2.059338837	0.5313878	0.228345803
7118	6551	M	127	2009	42389	43	0	0	2009	2009	Lambs	0.01597791	0	0.003743783
7120	6498	F	492	2009	42375	32	1	1	2010	2010	Adults	2.50481755	0.185147037	0.513100128
7121	5509	F	117	2009	42389	43	0	0	2009	2009	Lambs	0.857949773	0.041244962	0.395155633
7121	5509	F	846	2009	42304	11	2	2	2011	2011	Adults	1.024591041	0.354893242	0.761638618
7121	5509	F	1215	2009	42320	20	3	3	2012	2012	Adults	1.589019037	0.444891209	0.963031461
7121	5509	F	1578	2009	42313	15	4	4	2013	2013	Adults	1.141981213	0.42275395	0.850123702
7121	5509	F	1940	2009	42311	2	5	5	2014	2014	Adults	1.216684821	0.462027715	0.803489132
7121	5509	F	2303	2009	42327	24	6	6	2015	2015	Adults	1.30547573	0.638888007	1.028392001
